Lemma,Number of occurrences
SASL/SCRAM,0
mechanisms,37
StreamsSmokeTest.test_streams,0
intermittent,35
consumer.close,0
timeout,116
graceful,4
close,114
Consumer,39
per-topic,0
metrics,124
partitions,36
RecordTooLargeException,3
communicating,5
pre-KIP-74,1
Relax,0
constraints,36
StreamsKafkaClient,2
security,132
configs,44
assignment,24
undesirable,1
connectors/tasks,0
Report,11
offsets,20
groups,52
ConsumerGroupCommand,0
Global,20
Table,53
Decouple,37
flush,14
commits,10
older,15
requests,63
parallelize,3
start/stop,2
KafkaStreams.close,0
blocks,53
indefinitely,6
QueryableStateIntegrationTest.shouldNotMakeStoreAvailableUntilAllStoresAvailable,1
occasionally,12
jenkins,14
java.lang.IllegalStateException,7
Attempting,1
clean,56
NamedCache,1
ProducerPerformance.java,1
supply,9
payloads,3
MessageSet,0
client-side,30
equivalents,6
KTableSource,1
records-lag,0
FetchResponse,1
StandbyTasks,0
caching,61
dirty,2
removed,61
StoreChangeLogger,2
ReplicaBuffer.verifyChecksum,0
iterables,0
Higher,0
granularity,7
lag,7
metric,20
KafkaConsumer,12
resetter,3
joins,55
group,108
Avoid,105
pollNoWakeup,0
ConnectDistributedTest.test_pause_and_resume_sink,0
paused,2
connector,338
throughput,12
regression,60
caused,35
inefficient,12
java,82
clients,61
ApiVersion,0
Req/Resp,0
talking,2
supports,22
required,82
Enable,116
JAAS,11
kafka.utils.Time,0
kafka.common.utils.Time,0
backing,4
thread-safety,2
UnsupportedOperationException,9
StandbyTask,3
gracefully,8
consumers,54
producers,13
acks=0,0
Unify,24
downstream,3
initialised,0
intermittently,47
dies,5
restarted,6
Stream,28
shutting,19
ordering,20
users,98
DSL,13
Join,30
Semantics,4
KIP-77,0
ConfigDef.toRst,0
sections,3
Warn,7
kafka-connect,0
group.id,0
capability,20
replication,89
compact,2
stream,122
Multi,3
layer,47
forwarding,24
ProcessorNode,1
FetchRequest,2
org.apache.kafka.common.requests,0
enter,6
polling,3
interrupted,7
either,8
commitSync,2
committed,20
records,49
deleted,57
CachingKeyValueStore,1
appear,16
queries,174
First,7
retry.backoff.ms,0
milliseconds,9
complete,51
RocksDBStore.get,1
pass,60
nulls,20
Deserializers,1
KIP-79,2
ListOffsetRequest,0
timestamp,82
rebalance,25
callback,19
Auto-generate,0
topic-level,1
edits,0
clarify,6
minISR,0
ensureCoordinatorReady,0
KStream,14
job,230
spending,0
Clients,6
Leak,12
Native,15
Memory,70
Longer,0
Needed,2
Compressed,4
Messages,35
invalid/negative,0
OffsetValidationTest,0
transient,9
test_broker_rolling_bounce,0
onPartitionsRevoked,0
invoked,11
holding,10
coordinator,58
lock,47
discovery,17
tools,56
per-connector,0
converters,8
State,23
progress,28
StreamPartitionAssignor,1
classloading,1
flexible,21
Null,33
Pointer,15
Found,5
delete,88
KIP-70,0
Revise,7
Partition,10
Assignment,0
Subscription,1
ApiVersionRequest,0
SASL,22
handshake,9
Queryable,1
initialized,21
Connection,67
controller,36
disconnects,3
High,11
CPU,31
WorkerCoordinator,1
org.apache.kafka.streams.integration.RegexSourceIntegrationTest,0
RegexSourceIntegrationTest.testRegexMatchesTopicsAWhenDeleted,0
